epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6675,2.46033,5.10974,1.72671,0.00067,0.1,0.00039,0.00017,2.68631,6.43718,1.67317,1.667e-05,1.667e-05,1.667e-05
2,22.3894,2.47813,5.33905,1.62584,0.00171,0.24,0.00126,0.00066,2.03156,5.30718,1.3538,4.96799e-05,4.96799e-05,4.96799e-05
3,32.7405,1.98639,4.69641,1.32127,0.00206,0.28,0.0044,0.00227,1.63968,4.7801,1.18483,8.22498e-05,8.22498e-05,8.22498e-05
4,42.9673,1.64512,4.06592,1.27689,0.00259,0.36,0.02759,0.01619,1.62087,4.54924,1.16183,0.00011438,0.00011438,0.00011438
5,53.1861,1.51584,3.87286,1.17418,0.00304,0.44,0.0811,0.05364,1.51866,4.50196,1.14165,0.000146069,0.000146069,0.000146069
6,63.4757,1.80965,4.22634,1.50854,0.00292,0.42,0.15507,0.09248,1.43484,4.43876,1.11886,0.000177319,0.000177319,0.000177319
7,73.7612,1.61032,3.84223,1.22282,0.00361,0.5,0.22392,0.11602,1.38194,4.35616,1.09028,0.000208128,0.000208128,0.000208128
8,84.2407,1.49721,3.08808,1.16385,0.00343,0.46,0.1786,0.08062,1.34126,4.291,1.03572,0.000238498,0.000238498,0.000238498
9,94.3084,1.56002,3.28345,1.17616,0.00364,0.48,0.18181,0.07297,1.31677,4.23683,1.01119,0.000268427,0.000268427,0.000268427
10,104.681,1.43026,3.18029,1.12732,0.00385,0.5,0.16573,0.06981,1.32076,4.24259,1.00606,0.000297916,0.000297916,0.000297916
11,116.347,1.72736,4.02665,1.22886,0.00452,0.62,0.20454,0.06638,1.34984,4.27884,1.00156,0.000326965,0.000326965,0.000326965
12,127.072,1.65301,2.86487,1.20031,0.00428,0.56,0.12795,0.05786,1.34596,4.23868,0.99593,0.000355574,0.000355574,0.000355574
13,138.01,1.41218,2.71074,1.05108,0.00377,0.48,0.1316,0.07303,1.3339,4.20324,1.00566,0.000383743,0.000383743,0.000383743
14,148.895,1.74675,2.86492,1.34181,0.00316,0.4,0.10135,0.06523,1.35103,4.19919,1.01941,0.000411472,0.000411472,0.000411472
15,159.91,1.78297,3.16804,1.2339,0.00326,0.42,0.10592,0.07098,1.34224,4.17058,1.01661,0.000438761,0.000438761,0.000438761
16,171.029,1.49049,2.47807,1.13412,0.00338,0.44,0.10587,0.04349,1.38644,4.21891,1.05754,0.00046561,0.00046561,0.00046561
17,182.223,1.4849,2.38676,1.2451,0.00343,0.44,0.089,0.04017,1.4319,4.22724,1.04594,0.000492018,0.000492018,0.000492018
18,193.947,1.42128,2.09068,1.14631,0.00348,0.44,0.09509,0.04683,1.47762,4.30335,1.08432,0.000517987,0.000517987,0.000517987
19,205.335,1.46271,2.13956,1.02705,0.00391,0.48,0.13659,0.09176,1.38736,4.25474,1.00277,0.000543515,0.000543515,0.000543515
20,216.434,1.39226,2.15974,1.08248,0.00409,0.48,0.13318,0.09647,1.25758,4.12683,0.977,0.000568604,0.000568604,0.000568604
21,228.163,1.45183,2.24658,1.07908,0.00444,0.48,0.16003,0.09745,1.24757,4.109,0.99759,0.000593252,0.000593252,0.000593252
22,240.274,1.57155,2.35431,1.25233,0.0042,0.46,0.16487,0.08943,1.26294,4.10049,1.00411,0.00061746,0.00061746,0.00061746
23,252.871,1.29922,2.04278,1.01551,0.00403,0.44,0.17223,0.11017,1.2688,4.02766,1.0275,0.000641228,0.000641228,0.000641228
24,264.015,1.24481,1.95332,1.11056,0.00379,0.44,0.19965,0.12841,1.28283,3.96346,1.04547,0.000664556,0.000664556,0.000664556
25,274.83,1.59095,2.28589,1.11925,0.00343,0.42,0.17594,0.09639,1.37297,4.0283,1.08355,0.000687444,0.000687444,0.000687444
26,285.443,1.38091,2.10159,1.05346,0.00257,0.32,0.14906,0.07921,1.36061,4.01887,1.11589,0.000709892,0.000709892,0.000709892
27,296.242,1.30974,2.13653,1.07317,0.00248,0.32,0.16233,0.09216,1.28355,3.98874,1.07471,0.0007319,0.0007319,0.0007319
28,306.865,1.51949,2.3427,1.14125,0.00248,0.32,0.16233,0.09216,1.28355,3.98874,1.07471,0.000753467,0.000753467,0.000753467
